Seq#,Sample_No,"Duplicate
Sample_No",Campaign,QCType,Original QC,HoleID,From,To,Lab,Certificate_No,Certficate Date,Duplicate Lab,"Duplicate
Cert_No",Duplicate Cert Date,Ag,Duplicate Ag,Au,Duplicate Au,Cu,Duplicate Cu,Pb,Duplicate Pb,Zn,Duplicate Zn
1,853008,853091,First Drill Campaign,RC-Chip_Duplicate,853091,MEZ-21-001,9.15,10.68,,GU21154007 - Finalized,16/08/2021,,GU21154007 - Finalized,16/08/2021,0.300,0.250,0.007,0.008,23.000,20.500,24.500,22.000,62.000,55.000
2,853014,853092,First Drill Campaign,RC-Chip_Duplicate,853092,MEZ-21-001,16.78,18.30,,GU21154007 - Finalized,16/08/2021,,GU21154007 - Finalized,16/08/2021,0.350,0.250,0.007,0.008,28.500,26.500,18.000,18.500,72.000,66.000
3,853050,853093,First Drill Campaign,RC-Chip_Duplicate,853093,MEZ-21-001,67.10,68.63,,GU21154007 - Finalized,16/08/2021,,GU21154007 - Finalized,16/08/2021,0.450,0.250,0.020,0.018,20.000,19.000,19.500,24.000,132.500,133.000
4,853072,853094,First Drill Campaign,RC-Chip_Duplicate,853094,MEZ-21-001,97.60,99.13,,GU21154007 - Finalized,16/08/2021,,GU21154007 - Finalized,16/08/2021,0.250,0.250,0.003,0.003,21.500,20.500,20.500,23.500,140.000,141.000
5,853123,853240,First Drill Campaign,RC-Chip_Duplicate,853240,MEZ-21-002,38.13,39.65,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.900,0.700,0.011,0.011,27.500,24.000,23.000,19.000,112.000,96.500
6,853142,853241,First Drill Campaign,RC-Chip_Duplicate,853241,MEZ-21-002,64.05,65.58,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.750,1.000,0.005,0.004,27.500,28.000,190.500,195.000,345.500,348.500
7,853163,853242,First Drill Campaign,RC-Chip_Duplicate,853242,MEZ-21-002,93.03,94.55,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,1.100,1.100,0.020,0.018,36.500,32.000,334.500,316.500,635.000,600.000
8,853173,853243,First Drill Campaign,RC-Chip_Duplicate,853243,MEZ-21-002,106.75,108.28,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.250,0.250,0.029,0.036,47.000,44.000,34.500,36.000,232.500,239.500
9,853185,853244,First Drill Campaign,RC-Chip_Duplicate,853244,MEZ-21-002,123.53,125.05,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,6.100,5.950,0.038,0.029,765.000,840.000,287.500,287.000,1705.000,1825.000
10,853204,853245,First Drill Campaign,RC-Chip_Duplicate,853245,MEZ-21-002,149.45,150.98,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.450,0.350,0.008,0.007,46.000,32.000,18.000,15.500,136.000,113.000
11,853223,853246,First Drill Campaign,RC-Chip_Duplicate,853246,MEZ-21-002,175.38,176.90,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.600,0.600,0.015,0.015,26.500,27.500,16.500,17.500,22.500,23.000
12,853239,853247,First Drill Campaign,RC-Chip_Duplicate,853247,MEZ-21-002,198.25,199.78,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.250,0.250,0.005,0.006,14.000,14.000,7.000,6.500,43.000,46.500
13,853264,853321,First Drill Campaign,RC-Chip_Duplicate,853321,MEZ-21-003,21.35,22.88,,GU21154009 - Finalized,15/08/2021,,GU21154009 - Finalized,15/08/2021,0.250,0.250,0.003,0.004,25.000,22.500,22.500,22.500,82.000,84.000
14,853285,853322,First Drill Campaign,RC-Chip_Duplicate,853322,MEZ-21-003,50.33,51.85,,GU21154009 - Finalized,15/08/2021,,GU21154009 - Finalized,15/08/2021,0.250,0.250,0.003,0.003,25.000,23.000,11.500,10.000,96.500,96.500
15,853397,853323,First Drill Campaign,RC-Chip_Duplicate,853323,MEZ-21-003,99.13,100.65,,GU21154009 - Finalized,15/08/2021,,GU21154009 - Finalized,15/08/2021,0.250,0.250,0.009,0.004,27.000,20.000,4.000,6.000,105.500,90.500
16,853319,853324,First Drill Campaign,RC-Chip_Duplicate,853324,MEZ-21-003,97.60,99.13,,GU21154009 - Finalized,15/08/2021,,GU21154009 - Finalized,15/08/2021,0.250,0.300,0.010,0.009,30.000,31.000,25.000,23.000,128.000,106.500
17,853332,853398,First Drill Campaign,RC-Chip_Duplicate,853398,MEZ-21-004,9.15,10.68,,GU21188686 - Finalized,16/09/2021,,GU21188686 - Finalized,16/09/2021,0.250,0.250,0.003,0.003,14.000,14.500,9.500,7.500,131.000,136.000
18,853350,853399,First Drill Campaign,RC-Chip_Duplicate,853399,MEZ-21-004,33.55,35.08,,GU21188686 - Finalized,16/09/2021,,GU21188686 - Finalized,16/09/2021,0.250,0.250,0.003,0.003,18.000,21.000,16.000,16.500,105.500,127.500
19,853362,853400,First Drill Campaign,RC-Chip_Duplicate,853400,MEZ-21-004,50.33,51.85,,GU21188686 - Finalized,16/09/2021,,GU21188686 - Finalized,16/09/2021,0.250,0.250,0.004,0.006,21.500,23.000,20.000,21.000,145.500,159.000
20,853383,853401,First Drill Campaign,RC-Chip_Duplicate,853401,MEZ-21-004,79.30,80.83,,GU21188686 - Finalized,16/09/2021,,GU21188686 - Finalized,16/09/2021,0.900,1.100,0.039,0.047,44.000,52.000,123.000,152.000,258.500,274.000
21,853397,853402,First Drill Campaign,RC-Chip_Duplicate,853402,MEZ-21-004,99.13,100.65,,GU21188686 - Finalized,16/09/2021,,GU21188686 - Finalized,16/09/2021,0.250,0.250,0.009,0.008,27.000,26.000,4.000,5.500,105.500,96.500
22,853419,853549,First Drill Campaign,RC-Chip_Duplicate,853549,MEZ-21-005,21.35,22.88,,GU21188824 - Finalized,05/09/2021,,GU21188824 - Finalized,05/09/2021,0.350,0.600,0.009,0.010,13.500,16.500,20.000,23.000,83.000,85.500
23,853440,853550,First Drill Campaign,RC-Chip_Duplicate,853550,MEZ-21-005,50.33,51.85,,GU21188824 - Finalized,05/09/2021,,GU21188824 - Finalized,05/09/2021,0.250,0.250,0.003,0.003,12.500,17.500,5.000,8.000,68.000,73.500
24,853467,853551,First Drill Campaign,RC-Chip_Duplicate,853551,MEZ-21-005,86.93,88.45,,GU21188824 - Finalized,05/09/2021,,GU21188824 - Finalized,05/09/2021,1.750,1.650,0.062,0.059,47.500,45.500,302.000,316.500,505.000,479.500
25,853494,853552,First Drill Campaign,RC-Chip_Duplicate,853552,MEZ-21-005,125.05,126.58,,GU21188824 - Finalized,05/09/2021,,GU21188824 - Finalized,05/09/2021,3.700,3.850,0.094,0.097,81.500,84.000,223.000,239.000,457.500,464.500
26,853519,853553,First Drill Campaign,RC-Chip_Duplicate,853553,MEZ-21-005,158.60,160.13,,GU21188824 - Finalized,05/09/2021,,GU21188824 - Finalized,05/09/2021,0.800,0.950,0.015,0.021,17.500,18.500,38.000,37.000,143.000,146.500
27,853529,853554,First Drill Campaign,RC-Chip_Duplicate,853554,MEZ-21-005,172.33,173.85,,GU21188824 - Finalized,05/09/2021,,GU21188824 - Finalized,05/09/2021,0.500,0.550,0.005,0.005,19.500,20.000,31.000,31.500,87.000,93.000
28,853569,853646,First Drill Campaign,RC-Chip_Duplicate,853646,MEZ-21-006,18.30,19.83,,GU21161572 - Finalized,21/08/2021,,GU21161572 - Finalized,21/08/2021,0.250,0.250,0.003,0.003,9.500,10.000,4.000,4.000,75.500,75.500
